PA,SZ,AG,Sex,TOD,Pop,Time
Downtown Core,Cecil,75_to_79,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,75_to_79,Females,Others,0,2015
Downtown Core,Cecil,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Males,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Males,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,80_to_84,Males,Landed Properties,0,2015
Downtown Core,Cecil,80_to_84,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,80_to_84,Males,Others,0,2015
Downtown Core,Cecil,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Females,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Females,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,80_to_84,Females,Landed Properties,0,2015
Downtown Core,Cecil,80_to_84,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,80_to_84,Females,Others,0,2015
Downtown Core,Cecil,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Males,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Males,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,85_to_89,Males,Landed Properties,0,2015
Downtown Core,Cecil,85_to_89,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,85_to_89,Males,Others,0,2015
Downtown Core,Cecil,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Females,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Females,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,85_to_89,Females,Landed Properties,0,2015
Downtown Core,Cecil,85_to_89,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,85_to_89,Females,Others,0,2015
Downtown Core,Cecil,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Males,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Males,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,90_and_over,Males,Landed Properties,0,2015
Downtown Core,Cecil,90_and_over,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,90_and_over,Males,Others,0,2015
Downtown Core,Cecil,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Females,HDB 3-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Females,HDB 4-Room Flats,0,2015
Downtown Core,Cecil,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Cecil,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Cecil,90_and_over,Females,Landed Properties,0,2015
Downtown Core,Cecil,90_and_over,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Cecil,90_and_over,Females,Others,0,2015
Downtown Core,Central Subzone,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,65_to_69,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,65_to_69,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,65_to_69,Males,Others,0,2015
Downtown Core,Central Subzone,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,65_to_69,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,65_to_69,Females,Condominiums and Other Apartments,10,2015
Downtown Core,Central Subzone,65_to_69,Females,Others,0,2015
Downtown Core,Central Subzone,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,70_to_74,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,70_to_74,Males,Condominiums and Other Apartments,10,2015
Downtown Core,Central Subzone,70_to_74,Males,Others,0,2015
Downtown Core,Central Subzone,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,70_to_74,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,70_to_74,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,70_to_74,Females,Others,0,2015
Downtown Core,Central Subzone,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,75_to_79,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,75_to_79,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,75_to_79,Males,Others,0,2015
Downtown Core,Central Subzone,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,75_to_79,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,75_to_79,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,75_to_79,Females,Others,0,2015
Downtown Core,Central Subzone,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,80_to_84,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,80_to_84,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,80_to_84,Males,Others,0,2015
Downtown Core,Central Subzone,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,80_to_84,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,80_to_84,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,80_to_84,Females,Others,0,2015
Downtown Core,Central Subzone,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,85_to_89,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,85_to_89,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,85_to_89,Males,Others,0,2015
Downtown Core,Central Subzone,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,85_to_89,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,85_to_89,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,85_to_89,Females,Others,0,2015
Downtown Core,Central Subzone,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Males,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Males,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,90_and_over,Males,Landed Properties,0,2015
Downtown Core,Central Subzone,90_and_over,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,90_and_over,Males,Others,0,2015
Downtown Core,Central Subzone,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Females,HDB 3-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Females,HDB 4-Room Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Central Subzone,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Central Subzone,90_and_over,Females,Landed Properties,0,2015
Downtown Core,Central Subzone,90_and_over,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Central Subzone,90_and_over,Females,Others,0,2015
Downtown Core,City Hall,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,65_to_69,Males,Landed Properties,0,2015
Downtown Core,City Hall,65_to_69,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,65_to_69,Males,Others,0,2015
Downtown Core,City Hall,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,65_to_69,Females,Landed Properties,0,2015
Downtown Core,City Hall,65_to_69,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,65_to_69,Females,Others,0,2015
Downtown Core,City Hall,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,70_to_74,Males,Landed Properties,0,2015
Downtown Core,City Hall,70_to_74,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,70_to_74,Males,Others,0,2015
Downtown Core,City Hall,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,70_to_74,Females,Landed Properties,0,2015
Downtown Core,City Hall,70_to_74,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,70_to_74,Females,Others,0,2015
Downtown Core,City Hall,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,75_to_79,Males,Landed Properties,0,2015
Downtown Core,City Hall,75_to_79,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,75_to_79,Males,Others,0,2015
Downtown Core,City Hall,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,75_to_79,Females,Landed Properties,0,2015
Downtown Core,City Hall,75_to_79,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,75_to_79,Females,Others,0,2015
Downtown Core,City Hall,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,80_to_84,Males,Landed Properties,0,2015
Downtown Core,City Hall,80_to_84,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,80_to_84,Males,Others,0,2015
Downtown Core,City Hall,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,80_to_84,Females,Landed Properties,0,2015
Downtown Core,City Hall,80_to_84,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,80_to_84,Females,Others,0,2015
Downtown Core,City Hall,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,85_to_89,Males,Landed Properties,0,2015
Downtown Core,City Hall,85_to_89,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,85_to_89,Males,Others,0,2015
Downtown Core,City Hall,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,85_to_89,Females,Landed Properties,0,2015
Downtown Core,City Hall,85_to_89,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,85_to_89,Females,Others,0,2015
Downtown Core,City Hall,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Males,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Males,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,90_and_over,Males,Landed Properties,0,2015
Downtown Core,City Hall,90_and_over,Males,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,90_and_over,Males,Others,0,2015
Downtown Core,City Hall,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Females,HDB 3-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Females,HDB 4-Room Flats,0,2015
Downtown Core,City Hall,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,City Hall,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,City Hall,90_and_over,Females,Landed Properties,0,2015
Downtown Core,City Hall,90_and_over,Females,Condominiums and Other Apartments,0,2015
Downtown Core,City Hall,90_and_over,Females,Others,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Clifford Pier,65_to_69,Males,Landed Properties,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Clifford Pier,65_to_69,Males,Others,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Clifford Pier,65_to_69,Females,Landed Properties,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Clifford Pier,65_to_69,Females,Others,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Clifford Pier,70_to_74,Males,Landed Properties,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Clifford Pier,70_to_74,Males,Others,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Clifford Pier,70_to_74,Females,Landed Properties,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Clifford Pier,70_to_74,Females,Others,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Clifford Pier,75_to_79,Males,Landed Properties,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Clifford Pier,75_to_79,Males,Others,0,2015
Downtown Core,Clifford Pier,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Females,HDB 3-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Females,HDB 4-Room Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Clifford Pier,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
